key,lead,title,glyph,use,form,boundary
reference-links,Reference is a link (explicit markdown),Reference is a link,,Explicit [caption](url) for anything tappable; a proposal links its subject before the reasoning.,[caption](url),Bare paths drop on mobile and in copies; only a renderable page gets a render link (the honesty gate).
show-pixels,Show pixels,Show pixels,,"For visual changes, send an inspected headless-browser screenshot inline.",,A viewport shot cannot show horizontal overflow; measure scrollWidth (SNAGS).
hand-over,Hand over the artifact,Hand over the artifact,,"Send the file the user would open or run with SendUserFile, not just a description or a path.",,"proactive when unprompted, normal when replying; images preview inline, other types download."
lead-live-view,Lead with the live view,Lead with the live view,⭐,"A README for something renderable opens with a prominent ⭐ link to the hosted version, before prose.",,
toss,Toss a live view (private-safe) 🥏,Toss a live view,🥏,Render a page with no hosted URL through the shared toss renderer rather than handing over source alone.,toss-render.html#gz=<base64url> | #gh=owner/repo[@ref]:path,"#gz= travels to any reader; #gh= is token- and allowlist-gated, and the token is browser-local."
artifact,Publish an artifact (signed-in-safe) 📦,Publish an artifact,📦,"Bake a page self-contained and publish it as a stable private claude.ai snapshot; auth rides Claude sign-in, no token.",,"CSP blocks external requests; private to the author on Pro/Max, so other readers get a 🥏 #gz= toss."
stage,Stage a fileset (transport) 🗂️,Stage a fileset,🗂️,"Move a fileset across repos for viewing, bundle download, copying, or review diff.","app/#stage=owner/repo[@ref]:p1,p2;owner2/repo2:p3","Token-gated like #gh=; an inline handoff, not a surfacing-caption row."
envelope,Carry content in an envelope,Carry content in an envelope,,"A curated, annotated set of files, chats, diffs, or hits travels and renders as one unit (stage, surface, chat-results, data view).",,Prefer an envelope to an ad-hoc format; contracts and schemas in docs/envelopes/.
data-toss,"Toss data, not just a page 📊",Toss data,📊,"Hand over a CSV, JSON array, or log through the data route, opening in the multi-mode viewer.",toss-render.html#data=owner/repo[@ref]:path,Same token gate as #gh=; #gz= on the page itself for a tokenless reader.
clipboard,Copy to the clipboard 📋,Copy to the clipboard,📋,Link whose payoff is content on the reader's clipboard; Shortcuts actions are one case.,shortcuts://run-shortcut?name=<shortcut>&input=text&text=<payload>,"Device-made content only: a pasteboard type you cannot produce, or a value computed at tap time. Otherwise hand over a file. Paste the link as emitted; an edited payload keeps its actions and loses its label."
run-shortcut,Run a shortcut 📲,Run a shortcut,📲,"Same link shape, payoff anything but the clipboard.",,
branch-anchor,Branch anchor,Branch anchor,,The first file-modifying reply leads with Working branch: [branch-name](url).,Working branch: [name](tree url),
branch-page,Open the branch 🌿,Open the branch,🌿,"Link the live branch page beside the guide PR; its facts are read from the API on every load, so the link is current whenever opened.",pages/branch.html#gh=owner/repo@branch[&base=ref],"Token-gated with the in-app-browser caveat; 🌿 is where you read the branch, 🧭 where you merge it."
guide-pointer,Guide pointer 🧭,Guide pointer,🧭,Mark the branch's guide PR; close a reply with 🧭 [PR #N](url) (body synced | body not synced).,,"The parenthetical claims this reply rewrote the guide region, never carried forward."
task-marker,Task marker 🎫,Task marker,🎫,Surface a tracker task as 🎫 [title](task blob url); the filename id never shows.,,
caption,Surfacing caption,Surfacing caption,,"End a file-modifying turn with the uniform [new]/[main]/[diff] file list, render lines after the list.","- path ([new](…), [main](…)/[diff](…))","Three sizes: full (since main), turn (this turn), bare (just the 🧭 link); /caption operates it."
session-diff,Session diff,Session diff,,Summarize substantial work with a compare link.,Session diff: [main...branch](compare url),
closing-state,Closing state,Closing state,🟢,"Every reply that finishes work or proposes more ends with one of six labeled states (🟢 ready to continue, 🟡 decision needed, ⚪ natural stopping point, 🟠 attention, 🟣 merged, 🔴 closed), so the cheapest useful answer is one word.",,"Exactly one state per reply; go authorizes only what the 🟢 list names; orange is a real problem, and red marks a terminal state rather than a louder alarm. 🟣 and 🔴 mark the branch, not a task."
no-proxies,External proxies,External proxies: prohibited,,"Never htmlpreview, raw.githack, gitcdn and kin: they fetch server-side, fail on private repos, and route content through another host.",,[new] for canonical source; 🥏 for a private or un-deployed render.
subscribe-pr,Subscribe the workstream PR 📬,Subscribe the workstream PR,📬,"Call subscribe_pr_activity on creating a workstream PR. Subscribe once, receive every event, act per event: a go: comment instructs (intent, never authority), everything else is incoming context and obliges nothing.",,
