repo,artifact,check,kind,term,requirement,a,a_mode,b,b_mode,failure,limit,blocks,unit,count
web-tools,docs/tests.csv,tools/test/tests-registry.test.mjs (completeness test),two-way membership,set equality on path,every test file has a row and every row a file,tools/test/*.mjs on disk,generated by sessions adding files,docs/tests.csv path column,authored,"a file added without a row, a row left after a delete",that protects is true,ci,test calls,11
web-tools,docs/tests.csv derived columns,tools/test/tests-registry.test.mjs (derivation test),derived-artifact drift,"regeneration test: rerun the deriver, compare",the stamped columns match what deriveTests() computes now,"docs/tests.csv assertions, method, runner, boot_smoke",generated by tests-index.mjs,deriveTests(repoRoot) output,same function as the stamper,a test edited without restamping,that the derivation is right; both sides are one function,ci,test calls,(same file)
web-tools,docs/app-routes.csv,tools/test/app-routes.test.mjs (manifest half),declaration conformance,architecture test: manifest against parsed code (ArchUnit family),the manifest and the VIEWS table name the same addresses,docs/app-routes.csv view keys,authored,VIEWS keys parsed from app/index.html,generated by reading code,a route added to one and not the other,that a row describes its view accurately,ci,test calls,(part of file)
web-tools,lib/kits/route-activity.js,tools/test/app-routes.test.mjs (fold half),behavioral expectation,unit test against a hand-built fixture,the fold ranks rows as specified and never dates a row it cannot speak for,route-activity.js output over FIXTURE,generated at test time,expected literals in the test,authored,a ranking rule changed without the fixture,anything about real repository data,ci,test calls,(part of file)
web-tools,dist/web-tools.js,"tools/test/derived-artifacts.test.mjs (tools/build/build-lib.mjs --check block, invoked by tools/test/derived-artifacts.test.mjs ('dist/web-tools.js matches lib/'; tools/build/build-app.mjs --check block, invoked by tools/test/derived-artifacts.test.mjs ('dis)",derived-artifact drift,"regeneration test: rerun the deriver, compare bytes",dist/web-tools.js holds exactly the bytes buildKit.emit() produces right now from every lib/*.js file plus gh-api.js,dist/web-tools.js (committed),"generated by build-lib.mjs from lib/*.js, refreshed by the pre-commit hook when it runs","buildKit.emit({cache: every lib/*.js sorted, ghApiSrc, extraBoot}) recomputed now","same builder function, run fresh at test time","lib/ edited (a file added, removed, or changed) without dist/web-tools.js being rebuilt and committed, e.g. because the session's project root sat above the repo so .claude/settings.json's hook never loaded","that the pre-build's content is correct, or that gh-api.js (excluded from the cache and emitted separately) is current; only that the frozen artifact matches its declared source right now",ci,test calls,13 comparisons of this kind in the file
web-tools,"tracker/board.csv, tracker/board-tags.csv (the determinism the artifacts depend on)",tools/test/derived-artifacts.test.mjs (.claude/skills/tasks/build-board.py (whole script); tools/test/derived-artifacts.test.mjs ('the board generator is byte-deterministic')),determinism,reproducible-build check: two runs of one generator yield identical bytes,"two separate invocations of build-board.py over the same tracker/tasks/ tree, with PYTHONHASHSEED randomized between them, emit byte-identical board.csv and board-tags.csv",board.csv + board-tags.csv from run 1 (PYTHONHASHSEED=random),generated by build-board.py,"board.csv + board-tags.csv from run 2 (PYTHONHASHSEED=random, a fresh process)","generated by the same script, a second independent process","a future edit to build-board.py that iterates a Python set or dict without a fixed sort, letting per-process hash randomization reorder emitted rows, as the pre-2026-08-18 JSON board projection did","that today's tracker/tasks/ input is one that would expose non-determinism; a two-run check over the current tree cannot prove determinism for every possible input, only that this generator does not currently depend on hash order",ci,test calls,(part of file)
web-tools,.claude/skills/web-tools/CONVENTIONS.md,"tools/test/derived-artifacts.test.mjs, (""the plugin's vendored conventions match docs/"" (CONVENTIONS.md iteration; ""the plugin's vendored conventions match docs/"" (SURFACING.md iteration)",derived-artifact drift,transcription fidelity / regeneration test (a byte-for-byte copy rather than a computed derivation),".claude/skills/web-tools/CONVENTIONS.md is byte-identical to docs/CONVENTIONS.md, so a session's injected conventions are never behind the canonical doc",docs/CONVENTIONS.md,"authored, hand-edited",.claude/skills/web-tools/CONVENTIONS.md,"generated by `cp docs/CONVENTIONS.md ... .claude/skills/web-tools/` in .githooks/pre-commit, run whenever docs/ changes","docs/CONVENTIONS.md edited in a commit the hook never ran on (a project root above the repo, per this file's own opening comment, or --no-verify), leaving the vendored copy silently stale and confidently injected into future sessions","that the injected copy is being read at all in a given session; a repo with no plugin, or a PR the platform auto-creates, skips the injection path entirely per home's CLAUDE.md, which this check cannot see",ci,test calls,2 comparisons of this kind in the file
web-tools,docs/docs.csv,"tools/test/docs-registry.test.mjs 'every docs/ file is claimed by exactly one document row, and every row exists'",two-way membership,"set equality on a key; referential integrity in both directions (dbt relationships, both ways)","every .md/.json/.csv file under docs/ has exactly one docs.csv row, and every docs.csv row names a file that exists under docs/",every .md/.json/.csv file found by walking docs/ recursively,read live from the filesystem at test time,docs.csv `path` column values,authored (a session adds a row when it adds a doc),"a new doc added to docs/ without a row, a doc deleted while its row survives, a path typo'd or duplicated in docs.csv","that a row's other fields (subject, status, maintenance) describe the file accurately; membership says only that the file and a row exist together",ci,test calls,6
web-tools,docs/docs.csv,"tools/test/docs-registry.test.mjs ('every document row is typed: subject, status, reach, words, maintenance'; 'no document row has been filled in with a bare ""authored""')",schema conformance,"Great Expectations expect_column_values_to_be_in_set (status, reach) plus not-null/length checks (subject, maintenance) and a type check (words)","every docs.csv row has a subject longer than 5 characters, a status in {living, record, measured}, a reach in the five CHANNELS docs-reach.mjs declares, a non-negative integer words, and a maintenance longer than 5 characters",each docs.csv row's subject/status/reach/words/maintenance cells,"authored (subject, status, maintenance) or derived (reach, words)","the STATUSES set and CHANNELS list declared in the test and in docs-reach.mjs, plus the length/type literals written in the test itself","authored, hardcoded in the test and in docs-reach.mjs","a new row left with a blank or too-short subject/maintenance, a status or reach value that is a typo or predates a vocabulary addition (the test's own comment: `measured` was added after five rows described that genre in prose while status said `living`)","that a status or reach value, though in-domain, is the right one for that file; only that it is spelled from the closed list",ci,test calls,2 comparisons of this kind in the file
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs (tools/build/docs-reach.mjs deriveReach(); tools/test/docs-registry.test.mjs 'the declared reach of every document matches the derivation'; tools/build/docs-reach.mjs deriveWords(); tools/test/docs-registry.test.mjs 'the ),derived-artifact drift,regeneration test,"every docs.csv row's `reach` column equals the channel deriveReach() computes now by walking CLAUDE.md, the injected pair, every skill, and every app/lib/pages file for a mention of that doc's path",docs.csv `reach` column,"generated by `npm run docs-reach`, committed","deriveReach(repoRoot, paths) recomputed now","same function, run fresh at test time","a doc newly named by a skill, CLAUDE.md, or an app/lib file (or dropped from one) without restamping, leaving reach reporting the old channel","that the five-channel precedence itself reflects what ""reachable"" should mean; only that the stored value matches today's derivation under that model",ci,test calls,2 comparisons of this kind in the file
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs 'paths named as document rows resolve inside the repo',referential integrity,"dbt relationships test (one-way, foreign key to the filesystem)",every docs.csv row's `path` names a file (not a directory) that exists in the repo,docs.csv `path` column,authored,the filesystem at repoRoot,read live at test time (existsSync + statSync),"a row's path typo'd, or naming a file since deleted or turned into a directory","nothing this check does not already establish more strongly via the completeness test's second loop (`for (const p of rowSet) assert.ok(onDisk.has(p))`), which walks the same docs/ tree and asserts the same existence; this test is redundant with that half for any path actually under docs/, adding coverage only for a row whose path points outside docs/ (none does today)",ci,test calls,(part of file)
web-tools,docs/registries.csv,"tools/test/properties-registry.test.mjs (tools/build/registries-load.mjs REGISTRY_COLS; tools/test/properties-registry.test.mjs ""the writer's column list matches the file it writes"")",declaration conformance,ArchUnit-style architecture test (a hardcoded declaration in code compared with a file's actual shape),"the REGISTRY_COLS array hardcoded in registries-load.mjs equals the header row of docs/registries.csv, in order",REGISTRY_COLS array,"authored, hardcoded in tools/build/registries-load.mjs","docs/registries.csv's first line, split on commas","generated by registries-reach's restamp, committed","a column added to or reordered in REGISTRY_COLS without a matching restamp of registries.csv, or vice versa; the file's own comment cites exactly this: the 2026-08-18 kind/membership split landed green and was reverted an hour later because the commit hook restamped from a stale column list",that the column order or presence is meaningful beyond avoiding a silent drop; it says nothing about whether a column's values are correct,ci,test calls,13
web-tools,docs/registries.csv,"tools/test/properties-registry.test.mjs (""registries are well-formed: unique ids, carriers and gates exist"" (file/gate existsSync checks; ""registries are well-formed..."" (byRegistry.has(d.registry; ""modes are coherent..."" (existsSync(d.deriver; ""every tools row)",referential integrity,"dbt relationships test, one-way, to the filesystem","every registries.csv row's `file` path exists, and its `gate` path exists whenever `gate` is not the literal token `none`",registries.csv `file` and `gate` columns,authored,the filesystem at repoRoot,read live at test time,"a registry row added pointing at a carrier or gate file not yet created, or one later deleted or renamed without updating the row","that the named gate actually enforces the registry (only that the path resolves, not that the file's checks cover this registry's rows)",ci,test calls,4 comparisons of this kind in the file
web-tools,docs/registries.csv,"tools/test/properties-registry.test.mjs (""registries are well-formed..."" (new Set(ids).size === ids.length; ""every ungoverned registry says why, and the count is the one on the books"" (per-row shape asserts; ""every value in a closed domain is in that domain""; "")",schema conformance,dbt unique test,no two docs/registries.csv rows share an `id`,registries.csv `id` column values,authored,"the same column, deduplicated via Set",derived at test time (a Set built from a),a copy-pasted row whose `id` was not changed,"that the id is well-chosen or descriptive, only that it is not repeated",ci,test calls,7 comparisons of this kind in the file
web-tools,docs/registries.csv,"tools/test/properties-registry.test.mjs ""every ungoverned registry says why..."" (assert.equal(ungoverned.length, 0, ...))",ratchet,"ratchet test (ArchUnit FreezingArchRule): a count may not rise, and a fall must be re-pinned",the number of registries.csv rows with fields=ungoverned must be exactly the literal 0 written in the test,"registries.csv `fields` column, counted for the value `ungoverned`",authored,the literal 0 hardcoded in the test's assertion,"authored, a deliberately-edited ratchet value (the file's comment: it moved four times in two days, always down)","a session declaring a new carrier ungoverned as a shortcut instead of finding a way to govern it, which the test forces to be a deliberate edit to this file rather than a silent pass","that zero is the correct number forever; only that any change away from it is a conscious act, not an assertion that ungoverned carriers cannot legitimately exist",ci,test calls,(part of file)
web-tools,"every governed registry's carrier file (e.g. docs/harness.csv, docs/pages.csv, docs/tools.csv)","tools/test/properties-registry.test.mjs ""each governed carrier holds exactly its key plus its declared properties""",two-way membership,set equality on a key (per-registry column set vs declared property set),"for every registry marked governed, its carrier's actual CSV header fields equal exactly its key column(s) plus the properties docs/properties.csv declares for that registry id",each governed carrier's own CSV header row,"read live from disk at test time (generated by that registry's own builder, upstream of this check)","docs/properties.csv rows filtered to that registry, plus the registry's declared key",authored,"a carrier gains a column (a builder change, a hand edit) with no matching properties.csv row, an unaccounted classification; or a properties.csv row survives after its carrier drops the column, a stale declaration","that a declared property's stated meaning, mode, or domain is accurate; only that the column exists where declared and is declared where it exists",ci,test calls,(part of file)
web-tools,docs/registries.csv,"tools/test/properties-registry.test.mjs (tools/build/registries-reach.mjs deriveRendersIn(); tools/test/properties-registry.test.mjs ""renders_in matches its derivation on every registry"")",derived-artifact drift,regeneration test,"every registries.csv row's renders_in list matches the app files deriveRendersIn() finds naming that registry's carrier file, recomputed now",registries.csv `renders_in` column,"generated by `npm run registries-reach`, committed","deriveRendersIn(repoRoot, files) recomputed now","same function, run fresh at test time","an app or lib file starts or stops referencing a registry's carrier path without restamping, leaving renders_in claiming a reader that no longer reads it or missing one that newly does","that an empty renders_in list, which the file's own comment calls ""the Registries tab's warning state"", is itself a problem worth fixing rather than an accurate report of neglect",ci,test calls,(part of file)
web-tools,"every governed, identity-bearing registry (harness.csv, pages.csv, tools.csv, and others declaring identity)","tools/test/properties-registry.test.mjs identityOf()/assertionOwners() (""no target answers to two registries for the same property"")",uniqueness across carriers,"dbt unique, on the composite key (target, property) across every registry rather than within one","for any two governed registries sharing an identity space, no (target, property) pair is asserted (a non-blank value declared) by more than one registry","every governed, identity-bearing registry's non-blank declared-property cells, keyed by (identity space, target, property)",read live from each carrier at test time,"the same keyed set, requiring at most one owning registry id per key",derived at test time (assertionOwners() groups by key),"two registries both filling in the same property for the same target, as harness.csv and the portable set's own registry both once asserted role over nine scripts, and pages.csv and tools.csv both asserted title/note over four pages with note differing on all four","that the surviving owner's value is correct, only that exactly one registry claims it; resolved collisions are fixed by inheritance (blanking one side), which this check cannot itself verify was done correctly at render time",ci,test calls,(part of file)
web-tools,"the identityOf() function itself, not a repo file","tools/test/properties-registry.test.mjs (""the ownership gate still fires when two registries do claim one pair""; ""the ownership gate does not fire across two identity spaces"")",behavioral expectation,"xUnit-style unit test with a hand-derived expected value (a pseudo-oracle: the ""correct"" output is the test author's own computation, not an independent source)","identityOf() must normalize {identity:'path', key:'path'} over path:'pages/x.html' and {identity:'path:pages/', key:'href'} over href:'x.html' to the same key, so two differently-keyed registries pointing at the same file are recognized as one target","identityOf(a, {path:'pages/x.html'}) on a synthetic fixture","computed at test time from a hand-written fixture, not read from any repo file","identityOf(b, {href:'x.html'}) on a second synthetic fixture",computed at test time from a second hand-written fixture,"a future change to identityOf()'s normalization silently stops matching two real spellings of one path, which the ownership-gate check alone would not notice on a clean tree, since a clean tree has nothing to collide","that this narrow pair of fixtures exercises every identity-space combination the real registries use; it proves the normalizer still does this one merge, not that it is complete",ci,test calls,2 comparisons of this kind in the file
web-tools,docs/surfacing.csv (and the SURFACING.md primitives section),"tools/test/surfacing-manifest.test.mjs ""the primitives section parses and both sides are non-trivial"" (the two length>10 asserts)",mount smoke,adaptation: a parse-succeeded smoke test (guards against a regex silently matching zero items rather than checking content),"the SURFACING.md primitives section yields more than 10 bold lead-in bullets, and docs/surfacing.csv has more than 10 rows","leadIns, parsed from the ## Surfacing primitives section of SURFACING.md via the ^\* \*\*(.+?)\*\* regex",read live from docs/SURFACING.md at test time,"manifest.primitives, parsed from docs/surfacing.csv",authored (a session adds a row when it adds a primitive),"a heading rename that moves the ## Surfacing primitives marker or the closing \n--- so the section-extraction regex returns an empty or truncated slice, which would otherwise make the membership checks vacuously pass on zero items","that the two sides are non-trivial says nothing about whether their contents actually correspond, which is the membership tests' job",ci,test calls,4
web-tools,docs/repetitions.csv,"tools/test/surfacing-manifest.test.mjs ""the primitives section parses..."" (owns.some(r => r.where.includes('surfacing')))",existence,"adaptation: a registered-repetition lookup (docs/owners.csv model), one-way","docs/repetitions.csv has at least one row whose where column mentions ""surfacing"", recording that docs/surfacing.csv is a tracked repetition of the prose SURFACING.md owns",docs/repetitions.csv `where` column,authored,"the literal substring ""surfacing""","authored, hardcoded in the test","the repetitions.csv row renamed or removed (the file's own comment says this relation used to be a `doc` field on the manifest itself, since retired in favor of this registry) without anything else keeping the two files' ownership on record","that repetitions.csv's row is being enforced anywhere else; this only checks the row is present, not that anything holds the two files' summaries in sync (the file's own header says summaries ""stay unchecked"")",ci,test calls,(part of file)
web-tools,docs/surfacing.csv,"tools/test/surfacing-manifest.test.mjs (""every SURFACING.md primitive has a manifest row""; ""every manifest row points at a real SURFACING.md primitive"" (doc.has(norm(p.lead)) half)",one-way coverage,dbt relationships test (one direction of the two-way membership),every bold lead-in bullet in SURFACING.md's primitives section has a matching lead in docs/surfacing.csv,leadIns from SURFACING.md,read live from docs/SURFACING.md at test time,"manifest.primitives `lead` column, normalized",authored,"a new primitive bullet added to SURFACING.md's prose without a matching manifest row, or an existing bullet's bold lead-in reworded without updating the row's lead","that the manifest row's use/title summary paraphrases the primitive correctly; the file's own header says summaries ""are paraphrases and stay unchecked""",ci,test calls,2 comparisons of this kind in the file
web-tools,docs/surfacing.csv,"tools/test/surfacing-manifest.test.mjs ""every manifest row points at a real SURFACING.md primitive"" (p.key && p.title && p.use)",schema conformance,"dbt not_null test, on three columns at once","every docs/surfacing.csv row has a non-blank key, title, and use",docs/surfacing.csv `key`/`title`/`use` columns,authored,the not-blank requirement hardcoded in the test,authored,"a manifest row added with a lead and nothing else filled in, which the two membership checks alone would not catch since they check only lead","that a filled use field is a clear or accurate description of when to reach for the primitive, only that it is not empty",ci,test calls,(part of file)
web-tools,lib/vanilla-bundle.js,tools/test/one-escape-helper.test.mjs:36,mount smoke,adaptation: module-load smoke check,evaluating the bundle in a bare window stub registers a callable window.esc,"lib/vanilla-bundle.js run through new Function('window', src)(win)",authored,typeof win.esc,literal expectation ('function') authored in the test,a syntax error or a renamed export leaving window.esc undefined,that esc() escapes correctly; only that it exists,ci,test calls,1
web-tools,lib/vanilla-bundle.js (esc),"tools/test/one-escape-helper.test.mjs (41,52,61,71; 175)",behavioral expectation,unit test against hand-authored literals (xUnit),esc() escapes all five HTML-significant characters for both text and attribute contexts and turns a nullish value into an empty string without decoding first,esc(input) computed at test time,generated by calling the shared helper,hand-picked expected strings ('&amp;&lt;&gt;&quot;&#39;' etc.),authored,"a future edit dropping the quote characters the five local copies handled inconsistently, or reintroducing a decode step",that any real page's markup renders correctly with esc() in place; only the function's own input/output pairs,ci,test calls,2 comparisons of this kind in the file
web-tools,lib/ and pages/ *.js/*.html files,tools/test/one-escape-helper.test.mjs:141+151,two-way membership,adaptation: set equality between a declared exemption list and a regex-derived set of matches,the EXEMPT map names every file matching the local-escape-helper pattern and only those files,files under lib/ and pages/ (minus vanilla-bundle.js) matched against ENTITY_LITERAL/OPTION_ESCAPE regexes,generated by scanning the tree at test time,EXEMPT map keys,authored,a new local escape helper copied into an unlisted file; a stale EXEMPT entry whose file was fixed and no longer matches,that the escaping in an exempt file is correct; only that the carve-out still describes something real,ci,test calls,2
web-tools,"lib/alpineComponents/map.js, lib/kits/text-diff.js, lib/kits/chat-render.js, lib/kits/source-peek.js, pages/repo-atlas.html",tools/test/one-escape-helper.test.mjs:160,one-way coverage,dbt-style relationships test (one direction only),each of the five files the consolidation task converted still calls window.esc,a hand-named list of five file paths in the test,authored,/window\.esc\(/ matched against each file's current source,generated by reading the file at test time,one of the five sites reverting to a private copy or removing the call during refactor,that these are the only five call sites in the repo; the file could gain a sixth unescaped interpolation elsewhere,ci,test calls,1
