locator,creation_mode,analysis_use,description
CLAUDE.md,hybrid-authored,concept-vocabulary,Repo instructions; declares much of the estate's working vocabulary
README.md,hybrid-authored,concept-vocabulary,The hub's own account of itself
docs/,hybrid-authored,concept-vocabulary,The portable conventions and the repo's design docs; the densest vocabulary here
skills/,mixed,concept-vocabulary,"Skill prose is authored vocabulary, but 117 vendored .xsd schemas sit alongside it and are supplied; not yet isolated"
tracker/,hybrid-authored,concept-vocabulary,"Task files. Their boilerplate headings (Progress log, Definition of done) rank high in termlab and that is arguably correct"
sites/,hybrid-authored,prose-review,Long-form written pages
popups/,hybrid-authored,exclude,Browser tool markup
lib/,hybrid-authored,exclude,Library JavaScript; code register, not prose
tools/,hybrid-authored,exclude,Build and test tooling; code register
scripts/,hybrid-authored,exclude,Utility scripts; code register
bookmarklets/,hybrid-authored,exclude,Single-purpose JavaScript
console/,hybrid-authored,exclude,Console snippets
pages/,hybrid-authored,exclude,"Browser pages and their thumbnails; the prose lives in HTML comments, not extractable as text"
data/,mechanical,exclude,Generated data
archive/,mixed,exclude,Retired code and docs kept as a record
package.json,mechanical,exclude,Dependency manifest
package-lock.json,mechanical,exclude,Generated lockfile
