phrase,label,kind,note
the spine,hip,figurative,body part for an organizing principle
the backbone,hip,figurative,retired estate coinage
a weld,hip,figurative,retired estate coinage
the seam,hip,figurative,retired 2026-07-05
the shelf,hip,figurative,cross-repo surface
the estate,hip,figurative,property metaphor for a set of repos
the tray,hip,figurative,one tray for dump intake
the rail,hip,figurative,pinned strip in links board
the ladder,hip,figurative,cost ladder in doc-audit
the rung,hip,figurative,one step of the ladder
the foothold,hip,figurative,current hardware inventory
the to-go bag,hip,figurative,portable docs
the mailbox,hip,figurative,PR subscription
heavy lifting,hip,idiom,measured 7.3x human rate
load-bearing,hip,figurative,measured 75.8 per million for Claude
the tell,hip,idiom,poker term for a diagnostic sign
elegant variation,plain,technical,Fowler's actual term
the harvest,hip,figurative,regex candidate extraction
the toss,hip,insider,estate coinage for a render link
the drain,hip,insider,dump promotion command
a sweep,hip,insider,push-memory pass
the rounds,hip,insider,light repo review
the anchor,hip,figurative,branch anchor line
the guide,hip,insider,guide PR body
the closer,hip,insider,end-of-reply state
the gate,hip,figurative,a mechanical check
the residue,hip,figurative,what survives a doc chop
the copy,hip,figurative,duplicated prose that ages
the risk list,hip,insider,concept-index assumed tier
the regex harvest,hip,insider,minted in my own reply
the chunk list,hip,insider,minted in my own reply
the binding constraint,hip,idiom,economics idiom
the working branch,plain,ordinary,plain compound
the noun phrase,plain,technical,linguistics term
the corpus,plain,technical,Latinate technical noun
the index,plain,technical,standard data structure
the reference corpus,plain,technical,corpus linguistics term
the concreteness ratings,plain,technical,Brysbaert norms
the parser,plain,technical,standard NLP term
the threshold,plain,technical,standard
the ratio,plain,technical,standard
the dependency label,plain,technical,spaCy term
the sense count,plain,technical,WordNet term
the log-odds,plain,technical,statistics
the Dirichlet prior,plain,technical,statistics
the pull request,plain,technical,platform term
the commit hook,plain,technical,git term
the default branch,plain,ordinary,git term
the file list,plain,ordinary,plain compound
the change set,plain,ordinary,plain compound
the session transcript,plain,ordinary,plain compound
the error message,plain,ordinary,plain compound
the noun chunk,plain,technical,spaCy term
the test suite,plain,technical,standard
the exit code,plain,technical,standard
the false positive,plain,technical,standard
the sample size,plain,technical,standard
the boundary filter,plain,ordinary,descriptive compound
the candidate source,plain,ordinary,descriptive compound
the wall-clock time,plain,technical,standard
the working memory,plain,technical,standard
the fixed cost,plain,technical,economics standard
the round trip,hip,idiom,figurative in this register
the fast path,hip,idiom,borrowed from CPU design
the happy path,hip,idiom,borrowed from testing
the cheap path,hip,idiom,estate variant
a red build,hip,idiom,CI colour metaphor
goes green,hip,idiom,CI colour metaphor
the honesty gate,hip,figurative,estate coinage
the judgment layer,hip,figurative,estate coinage
the surfacing moment,hip,insider,estate coinage
the branch page,plain,ordinary,plain compound
the body sync,plain,ordinary,plain compound
the wrap-up,plain,ordinary,common phrasal noun
the handoff,plain,ordinary,common
the backlog,plain,technical,project management standard
the snag,hip,figurative,friction log coinage
the friction log,hip,figurative,estate coinage
the push memory,hip,figurative,estate coinage
the slow layer,hip,figurative,me folder
the outer log,hip,figurative,news folder
the running log,hip,figurative,chron folder
the return channel,hip,figurative,Log-Repo
the device,plain,ordinary,plain noun
the receiver,plain,technical,shortcut-tools term
the payload,plain,technical,standard
the clipboard,plain,technical,standard
the identifier,plain,technical,standard
