key,address,label,stop,group,what,files,note,tabs,alias
shell,,Shell,,shell,"The shell is every route's file: it holds the router, the header, the sidebar, and the panes' outer markup, so a commit to it touches all of them and says nothing about which. The Routes tab therefore excludes it from attribution and reports it on its own row. A route whose `files` are empty has no code of its own AT ALL and renders from an inline component in the shell; that is a fact about the app worth reading, not a gap in this file.",app/index.html,,,
landing,?repo=owner/name,Overview,Overview,repo,"A repo's front page: its README, with the repo's stats and a jump to the atlas.",,"Renders from overview(), defined inline in the shell, so it has no file of its own. It used to be a three-way choice (a declared landing page, else the pages gallery, else this); the README lost that choice whenever anything else was declared, so the other two became rows of their own.",,
pages,?view=pages,Pages,Pages,repo,"The pages gallery: web-tools' own catalog, or any repo's `pages` entries.",,"A standing view since 2026-08-14, wherever there is a catalog; it used to appear only when a custom landing had taken the front door from it. The same inline gallery() the landing used to use.",,
atlas,?view=atlas,Atlas,Atlas,repo,"The whole-repo treemap, rendered by a separate page the view frames.",lib/kits/treemap.js;pages/repo-atlas.html,,,
config,?view=config,Config,Config,repo,"The form over a repo's own .web-tools.json: membership, landing, pins, stage, checks.",lib/alpineComponents/config.js,,,
project,?view=project&project=<path>,Project,Project,repo,"One workspace's front page: overview, board, pages, docs, under a constant header.",,Assembled inline in the shell from the components the four pills reuse.,overview;board;pages;docs,
estate,?view=estate,Repos,Repos,estate,"The card per repo that opts in, grouped, with each repo's scope and adoption read.",lib/alpineComponents/estate.js;lib/kits/portable-align.js;lib/kits/repo-config-cache.js,,,
stage,?view=stage,Stage,Stage,estate,"The bench: the working fileset, its lenses, and the cross-repo transfer.",lib/alpineComponents/stage.js;lib/kits/surface.js;lib/kits/text-diff.js,,,
surfaces,?view=surfaces,Saved,Stage,estate,"The shelf of saved surfaces, general and per-repo.",lib/alpineComponents/estate.js;lib/kits/surface.js,,,
activity,?view=activity,Branches,Activity,estate,"The cross-repo live branches: what the estate is working on, freshest first, with the landed/stranded signal. `?view=branches` aliases here from the retired per-repo review.",lib/alpineComponents/branch-brief.js;lib/alpineComponents/estate.js;lib/kits/branch-brief.js;lib/kits/branch-status.js;lib/kits/repo-activity-cache.js,,,
sessions,?view=sessions,Sessions,Activity,estate,"Every recorded Claude Code session, newest first: the act behind the branches.",lib/alpineComponents/estate.js;lib/kits/repo-sessions-cache.js;lib/kits/session-export.js;lib/kits/session-render.js,,,
guides,?view=guides,Guides,Activity,estate,"The guide PR bodies, each with the branch that wrote it and the session that ran it.",lib/alpineComponents/estate.js;lib/kits/guide-index.js;lib/kits/guide-render.js,,,
chats,?view=chats,Chats,Activity,estate,The conversation archive: the venue with no key joining it to a branch.,lib/alpineComponents/estate.js;lib/kits/chat-archive.js;lib/kits/chat-render.js,,,
routes,?view=routes,Routes,Activity,estate,"This pane: the app's own destinations, ranked by when the code behind each last moved.",docs/app-routes.csv;lib/alpineComponents/estate.js;lib/kits/route-activity.js;docs/vocabularies.csv,,,
todo,?view=todo,To-do,Lists,estate,"The two personal piles, to-do over jot, in one pane.",lib/alpineComponents/estate.js,,,
jots,?view=jots,Jot,Lists,estate,The same pane as to-do; the key survives so a saved link lands somewhere real.,lib/alpineComponents/estate.js,,,
map,?view=map,Map,Map,estate,"The coordination layer made inspectable: the portable set, surfacing, showing, docs, claims, tests, harness, registries.",docs/properties.csv;docs/registries.csv;docs/routes.json;docs/surfacing.csv;lib/alpineComponents/map.js,"A tab is one registry's detail view, so a registry earns one when its rows read as a filterable list; rows with a rendering of their own (pages, tasks, utility pages) get their view elsewhere in the app",set;surfacing;showing;docs;claims;tests;harness;registries,portable
tools,?view=tools,Tools,Tools,estate,The curated gallery of utility pages.,docs/tools.csv;lib/alpineComponents/tools.js,,,
search,?view=search,Files,Files,estate,"The central file surface: walk a repo's tree, search names at any ref under any folder, search contents, grep the session records, and read the file in place.",lib/alpineComponents/path-picker.js;lib/alpineComponents/ref-picker.js;lib/alpineComponents/search-view.js;lib/alpineComponents/viewer.js;lib/kits/estate-search.js,"The ?view= key stays `search`, its name since the view was a results list: an address is not a label. `?view=files` and a bare `?file=` alias here, from the per-repo tree walk this replaced.",,
state,?view=state,State,State,estate,"What the estate keeps derived and how old each piece is, with the control that refreshes it.",lib/alpineComponents/state-view.js;lib/kits/crawl-runs.js,,,
proposals,?view=proposals,Proposals,Proposals,estate,Pending cross-repo edits awaiting a confirm; shown in the nav only while something waits.,lib/alpineComponents/proposals.js;lib/kits/repo-proposals.js,,,
public,?view=public,Public browse,Public browse,shell,The tokenless read of any public repo.,lib/alpineComponents/public-browse.js,,,
app,?view=app&appRepo=<owner/repo>&appPath=<path>,App view,App view,shell,"A page some repo promotes, rendered live through toss-render; one address, many destinations.",pages/toss-render.html,Not a screen this repo draws: the shell frames whatever page the address names.,,
